song,artist,chord_progression
Jupiter from The Planets,Gustav Holst,vi → V → IV → V
Don't stop being crazy,Helloween,vi → V → IV → V
Extends Levant,HertzDevil,vi → V → IV → V
Mobile Suit Gundam Unicorn - UNICORN,Hiroyuki Sawano,vi → V → IV → V
Look What You've Done,Jet,vi → V → IV → V
All Along The Watchtower,Jimi Hendrix,vi → V → IV → V
Heartbeat,JJAMZ,vi → V → IV → V
Afro Blue,John Coltrane,vi → V → IV → V
All My Life,K-Ci and Jojo,vi → V → IV → V
Catch My Breath,Kelly Clarkson,vi → V → IV → V
Rage Valley,Knife Party,vi → V → IV → V
Do What U Want,Lady Gaga,vi → V → IV → V
Aura,Lady Gaga,vi → V → IV → V
Diet Mtn Dew,Lana Del Rey,vi → V → IV → V
Come Back to Me,Les Friction,vi → V → IV → V
Sheezus,Lily Allen,vi → V → IV → V
Master Of Tides,Lindsey Stirling,vi → V → IV → V
Buzzcut Season,Lorde,vi → V → IV → V
The Show Goes On,Lupe Fiasco,vi → V → IV → V
Girl Gone Wild,Madonna,vi → V → IV → V
Smooth Criminal,Michael Jackson,vi → V → IV → V
Beat It,Michael Jackson,vi → V → IV → V
Afro Blue,Mongo Santamaria,vi → V → IV → V
In The Air - Mord Fustang Remix,Morgan Page vs Sultan and Ned Shepard vs BT,vi → V → IV → V
The Majestic Tale,Murray Gold,vi → V → IV → V
Slow Down,Myla Smith,vi → V → IV → V
Turn Me On,Nicki Minaj,vi → V → IV → V
Legacy - Vicetone Remix,Nicky Romero and Krewella,vi → V → IV → V
Final Fantasy VI Boss Battle Theme,Nobuo Uematsu,vi → V → IV → V
Leave It Alone,NOFX,vi → V → IV → V
It's Gonna Be Me,Nsync,vi → V → IV → V
Don't Go Away,Oasis,vi → V → IV → V
Don't Look Back In Anger,Oasis,vi → V → IV → V
Live While We're Young,One Direction,vi → V → IV → V
La Guitarra,Orjan Nilsen,vi → V → IV → V
Let Her Go,Passenger,vi → V → IV → V
Hall om mig,Petter - Daniel Adams-Ray,vi → V → IV → V
Hotel Room Service,Pitbull,vi → V → IV → V
Rhythm Of Love,Plain White T's,vi → V → IV → V
Hey There Delilah,Plain White T's,vi → V → IV → V
1 2 3 4,Plain White T's,vi → V → IV → V
I Want To Break Free,Queen,vi → V → IV → V
Muffin Knight Theme,Rob Yale and Jesse Holt,vi → V → IV → V
Somebody's Watching Me,Rockwell,vi → V → IV → V
Gold Skies,Sander van Doorn Martin Garrix DVBBS,vi → V → IV → V
Other Side Of Love,Sean Paul,vi → V → IV → V
Summit,Skrillex,vi → V → IV → V
Scary Monsters And Nice Sprites,Skrillex,vi → V → IV → V
Come Sail Away,Styx,vi → V → IV → V
Luka,Suzanne Vega,vi → V → IV → V
Lichen and Bees,Tamas Wells,vi → V → IV → V
22,Taylor Swift,vi → V → IV → V
Come Together,The Beatles,vi → V → IV → V
Billionaire,Travie McCoy ft Bruno Mars,vi → V → IV → V
Just Communication,Two-Mix,vi → V → IV → V
Rhythm Emotion,Two-Mix,vi → V → IV → V
Radical Dreamers,Yasunori Mitsuda,vi → V → IV → V
Hartmann's Youkai Girl,ZUN,vi → V → IV → V
The Capital City of Flowers in the Sky,ZUN,vi → V → IV → V
Mystical Oriental Dream - Ancient Temple,ZUN,vi → V → IV → V
Radio,Alkaline Trio,vi → V → IV → V
Help Me,Alkaline Trio,vi → V → IV → V
