song,artist,chord_progression
I Won't Let You Down,OK Go,V → V6/vi → vi
You're My Best Friend,Queen,V → V6/vi → vi
Grotesque,RAM and Alex Morph,V → V6/vi → vi
Happyman 1,Ratboy Genius,V → V6/vi → vi
One For All All For One,Razihel and Virtual Riot,V → V6/vi → vi
Human of the Year,Regina Spektor,V → V6/vi → vi
ERC Song,Ryan,V → V6/vi → vi
Double Rainbow Remix,Schmoyoho,V → V6/vi → vi
JUST DO IT ft Shia LaBeouf,Schmoyoho,V → V6/vi → vi
Theme Of Prontera,SoundTeMP,V → V6/vi → vi
Up There,South Park,V → V6/vi → vi
With Me,Sum 41,V → V6/vi → vi
Video Killed The Radio Star,The Buggles,V → V6/vi → vi
Read My Mind,The Killers,V → V6/vi → vi
Sorry Jack,The Living Tombstone,V → V6/vi → vi
The Package Store Petition,The Mighty Mighty Bosstones,V → V6/vi → vi
Not Perfect,Tim Minchin,V → V6/vi → vi
We Wish You a Merry Christmas,Traditional,V → V6/vi → vi
Bruises,Train,V → V6/vi → vi
A Demon's Fate,Within Temptation,V → V6/vi → vi
Beloved Tomboyish Girl,ZUN,V → V6/vi → vi
Flowering Night,ZUN,V → V6/vi → vi
Fall of Fall - Autumnal Waterfall,ZUN,V → V6/vi → vi
Extend Ash - Hourai Victim,ZUN,V → V6/vi → vi
Big In Japan,Alphaville,I → V/vi
Mardy Bum,Arctic Monkeys,I → V/vi
What About Love,Austin Mahone,I → V/vi
Wake Me Up,Avicii,I → V/vi
The Lord Of The Rings,Blind Guardian,I → V/vi
Gravity Falls Title Theme,Brad Breek,I → V/vi
First Day of My Life,Bright Eyes,I → V/vi
Oops I Did It Again,Britney Spears,I → V/vi
Locked Out Of Heaven,Bruno Mars,I → V/vi
The Lazy Song,Bruno Mars,I → V/vi
That's Falling in Love,Chelsea Ward,I → V/vi
Take Flight,Craig Austin,I → V/vi
Moonage Daydream,David Bowie,I → V/vi
Lady Stardust,David Bowie,I → V/vi
I Will Follow You Into the Dark,Death Cab for Cutie,I → V/vi
Miss Misery,Elliott Smith,I → V/vi
Cliffs of Dover,Eric Johnson,I → V/vi
Hemorrhage - In My Hands,Fuel,I → V/vi
Smile,Galantis,I → V/vi
Aspertia City,Game Freak,I → V/vi
Lake of tears,Gamma ray,I → V/vi
L'Amour Toujours,Gigi D'Agostino,I → V/vi
Brand New Kind of Blue,Gold Motel,I → V/vi
Spiral Mountain,Grant Kirkhope,I → V/vi
Stray Heart,Green Day,I → V/vi
Holiday,Green Day,I → V/vi
Boulevard of Broken Dreams,Green Day,I → V/vi
Extends Levant,HertzDevil,I → V/vi
Pieces,Icon for Hire,I → V/vi
Derniere Danse,Indila,I → V/vi
You and I,Ingrid Michaelson,I → V/vi
Getter Robo,Isao Sasaki,I → V/vi
Hunger Games Theme - Horn Of Plenty,James Newton Howard,I → V/vi
Violet Stars Happy Hunting,Janelle Monae,I → V/vi
Star Trek Ilia's Theme,Jerry Goldsmith,I → V/vi
Illumielle,Jo Blankenburg,I → V/vi
Imagine,John Lennon,I → V/vi
Shop Vac,Jonathan Coulton,I → V/vi
You Raise Me Up,Josh Groban,I → V/vi
Million Dollar Man,Lana Del Rey,I → V/vi
Transcendence,Lindsey Stirling,I → V/vi
Mirror Haus,Lindsey Stirling,I → V/vi
Master Of Tides,Lindsey Stirling,I → V/vi
Experience,Ludovico Einaudi,I → V/vi
Master of the wind,Manowar,I → V/vi
All I Want For Christmas Is You,Mariah Carey,I → V/vi
Yuusha Raideen,Masato Shimon,I → V/vi
Nothing Else Matters,Metallica,I → V/vi
Wrecking Ball,Miley Cyrus,I → V/vi
Stolen Dance,Milky Chance,I → V/vi
Mitch Benn's Imagine,Mitch Benn,I → V/vi
New Born,Muse,I → V/vi
Everybody Talks,Neon Trees,I → V/vi
Two-Headed Boy,Neutral Milk Hotel,I → V/vi
Lithium,Nirvana,I → V/vi
Leave It Alone,NOFX,I → V/vi
The Painter,O-Town,I → V/vi
Sittin' On The Dock of the Bay,Otis Redding,I → V/vi
Self Destruct,Pegboard Nerds,I → V/vi
Creep,Radiohead,I → V/vi
Steven Universe Opening,Rebecca Sugar,I → V/vi
Drop Dead Gorgeous,Republica,I → V/vi
Supreme,Robbie Williams,I → V/vi
The Alcoholic,Royksopp,I → V/vi
Trust,Salia,I → V/vi
Mother Earth,Savant,I → V/vi
La Tortura ft Alejandro Sanz,Shakira,I → V/vi
Wasted Time,Skid Row,I → V/vi
She Says What She Means,Sloan,I → V/vi
Drop It Like It's Hot ft Pharrell Williams,Snoop Dogg,I → V/vi
Shape Of My Heart,Sting,I → V/vi
Santeria,Sublime,I → V/vi
Ciudad Magica,Tan Bionica,I → V/vi
Take It To The Limit,The Eagles,I → V/vi
Don't You Want Me,The Human League,I → V/vi
Five Nights at Freddy's,The Living Tombstone,I → V/vi
Hopeless Bleak Despair,They Might Be Giants,I → V/vi
If We Ever Meet Again,Timbaland ft Katy Perry,I → V/vi
Korobeiniki--Tetris Main Theme,Traditional,I → V/vi
Invincible,Two Steps From Hell,I → V/vi
We'll Meet Again,Vera Lynn,I → V/vi
Why Can't We Be Friends,War,I → V/vi
Since You've Been Gone,Weird Al Yankovic,I → V/vi
Fire Power,Wolfgang Gartner,I → V/vi
Actraiser - Fillmore,Yuzo Koshiro,I → V/vi
Break Free feat - Ariana Grande,Zedd,I → V/vi
Lucid,AandG,vi → vi42 → IV
Skyfall,Adele,vi → vi42 → IV
Danny's Song,Anne Murray,vi → vi42 → IV
Jupiter,Ayaka Hirahara,vi → vi42 → IV
Uptown Girl,Billy Joel,vi → vi42 → IV
Honesty,Billy Joel,vi → vi42 → IV
Gorilla,Bruno Mars,vi → vi42 → IV
Half Breed,Cher,vi → vi42 → IV
Quieter Today,Cloud Nothings,vi → vi42 → IV
Girls Just Want To Have Fun,Cyndi Lauper,vi → vi42 → IV
Out Of The Blue,Debbie Gibson,vi → vi42 → IV
Can You Feel The Love Tonight,Disney,vi → vi42 → IV
A Whole New World,Disney,vi → vi42 → IV
Can You Feel the Love Tonight,Elton John,vi → vi42 → IV
Can't Help Falling In Love,Elvis Presley,vi → vi42 → IV
I Can't Help Falling In Love,Elvis Presley,vi → vi42 → IV
Let It Grow,Eric Clapton,vi → vi42 → IV
The Final Countdown,Europe,vi → vi42 → IV
Some Minds ft Andrew Wyatt,Flume,vi → vi42 → IV
No Me No You,Frost,vi → vi42 → IV
Arrival of the Queen of Sheba,George Frederic Handel,vi → vi42 → IV
The Lion King - This Land,Hans Zimmer,vi → vi42 → IV
Extends Levant,HertzDevil,vi → vi42 → IV
Doctor,Homestuck Soundtrack,vi → vi42 → IV
Near You Always,Jewel,vi → vi42 → IV
Jesus bleibet meine Freude,Johann Sebastian Bach,vi → vi42 → IV
Binary Sunset,John Williams,vi → vi42 → IV
The East Is Red,Li Huanzhi,vi → vi42 → IV
Piano Sonata No 14 ''Moonlight'' 1st Movement,Ludwig Van Beethoven,vi → vi42 → IV
Magically Delicious,MelodySheep,vi → vi42 → IV
Congratulations,MGMT,vi → vi42 → IV
Castlevania SotN - The Tragic Prince,Michiru Yamane,vi → vi42 → IV
Castlevania PoR - Gaze Up at the Darkness,Michiru Yamane,vi → vi42 → IV
The Link,Motooi Sakuraba,vi → vi42 → IV
Animals,Muse,vi → vi42 → IV
Theme Of Love - FFIV,Nobuo Uematsu,vi → vi42 → IV
Paranoid Android,Radiohead,vi → vi42 → IV
Merry Christmas Mr Lawrence,Ryuchi Sakamoto,vi → vi42 → IV
America,Simon and Garfunkel,vi → vi42 → IV
Theme Of Prontera,SoundTeMP,vi → vi42 → IV
Up There,South Park,vi → vi42 → IV
No Reason,Sum 41,vi → vi42 → IV
Stars,Tatu,vi → vi42 → IV
Yesterday,The Beatles,vi → vi42 → IV
Octopus's Garden,The Beatles,vi → vi42 → IV
We Can Work It Out,The Beatles,vi → vi42 → IV
A Day in the Life,The Beatles,vi → vi42 → IV
Strangers,The Kinks,vi → vi42 → IV
Caring is Creepy,The Shins,vi → vi42 → IV
Undertale - Spider Dance,Toby Fox,vi → vi42 → IV
Broadway Guide,Tomoko Sasaki,vi → vi42 → IV
In a Little While,U2,vi → vi42 → IV
When There Was Me and You - High School Musical,Vanessa Hudgens,vi → vi42 → IV
The Dachstein Angels,Wally Badarou,vi → vi42 → IV
La Valse D'Amelie,Yann Tiersen,vi → vi42 → IV
Cocoro Root,Yui Sakakibara,vi → vi42 → IV
Norge Mitt Norge,Aage Aleksandersen,V7/IV → IV
Heavy Rotation,AKB48,V7/IV → IV
Music Of The Night,Andrew Lloyd Webber,V7/IV → IV
Maybe,Annie,V7/IV → IV
I Say A Little Prayer,Aretha Franklin,V7/IV → IV
Hare Hare Yukai - The Melancholy of Haruhi ED1,Aya Hirano,V7/IV → IV
Cartoon Heroes -Speedy Mix-,Barbie Young,V7/IV → IV
Something,Beatles,V7/IV → IV
Resentment,Beyonce,V7/IV → IV
The Longest Time,Billy Joel,V7/IV → IV
Billy Don't Be a Hero,Bo Donaldson and the Heywoods,V7/IV → IV
Don't Think Twice It's Alright,Bob Dylan,V7/IV → IV
Original Piano Song,Brent Black,V7/IV → IV
Love Will Keep Us Together,Captain and Tennille,V7/IV → IV
Circle Of Life,Carmen Twillie,V7/IV → IV
Le Festin d'Esope,Charles-Valentin Alkan,V7/IV → IV
So In Love,Cole Porter - Ella Fitzgerald,V7/IV → IV
Soul Love,David Bowie,V7/IV → IV
Desperado,Eagles,V7/IV → IV
I Am Glad Because I'm Finally Returning Back Home,Eduard Khil,V7/IV → IV
The Sons of Katie Elder Theme,Elmer Bernstein,V7/IV → IV
Don't Let The Sun Go Down On Me,Elton John,V7/IV → IV
Love Me Tender,Elvis Presley,V7/IV → IV
Out Of My Head,Fastball,V7/IV → IV
Secret Heart,Feist,V7/IV → IV
Angoa,Felix Reina,V7/IV → IV
Isles,Fleet Foxes,V7/IV → IV
Can't Take My Eyes Off You,Franki Valli,V7/IV → IV
Silent Night,Franz Gruber,V7/IV → IV
Dragon Valley 1,GalaxyTrail,V7/IV → IV
Opelucid City - White Version,Game Freak,V7/IV → IV
Aspertia City,Game Freak,V7/IV → IV
Encounter - May,Game Freak,V7/IV → IV
Lumiose City,Game Freak,V7/IV → IV
Tong Hua,Guang Liang,V7/IV → IV
Hyadain's-O-O-O-One-sided-Love-C---Nichijou-OP-1,Hyadain,V7/IV → IV
Hyadain's-O-O-O-One-sided-Love-C---Nichijou-OP-1,Hyadain-,V7/IV → IV
You Are So Beautiful To Me,Joe Cocker,V7/IV → IV
Jesus bleibet meine Freude,Johann Sebastian Bach,V7/IV → IV
Country,Keith Jarrett,V7/IV → IV
When The Saints Go Marching In,Louis Armstrong,V7/IV → IV
Piano Sonata No 8 ''Pathetique'' - 1st Movement,Ludwig Van Beethoven,V7/IV → IV
Pay No Mind ft Passion Pit,Madeon,V7/IV → IV
Strike Witches - Sweet Duet,Mai Kadowaki - Erika Nakai,V7/IV → IV
Mega Man 5 - Napalm Man Stage,Mari Yamaguchi,V7/IV → IV
Castlevania CotM - The Sinking Old Sanctuary,Michiru Yamane,V7/IV → IV
Shiawase High Tension,Minami-ke Tadaima OP,V7/IV → IV
I Wish I Knew How It Would Feel To Be Free,Nina Simone,V7/IV → IV
Le Sud,Nino Ferrer,V7/IV → IV
Super Smash Bros Melee - Break the Targets,Nintendo,V7/IV → IV
Beach Bowl Galaxy,Nintendo,V7/IV → IV
Lon Lon Ranch,Nintendo,V7/IV → IV
Don't Know Why,Norah Jones,V7/IV → IV
You're Driving Me Crazy,Parry Gripp,V7/IV → IV
Teddy Boy,Paul McCartney,V7/IV → IV
Still Crazy After All These Years,Paul Simon,V7/IV → IV
Waste,Phish,V7/IV → IV
Bohemian Rhapsody,Queen,V7/IV → IV
Don't Stop Me Now,Queen,V7/IV → IV
It's Over Isn't It - Steven Universe,Rebecca Sugar,V7/IV → IV
Extended Theme Song - Steven Universe,Rebecca Sugar,V7/IV → IV
Let's Go Fly A Kite,Richard and Robert Sherman,V7/IV → IV
Im wonderschoenen Monat Mai,Robert Schumann,V7/IV → IV
Please Send Me Someone To Love,Sade,V7/IV → IV
Can't Stop Singing,Teen Beach Movie,V7/IV → IV
Surfer Girl,The Beach Boys,V7/IV → IV
Something,The Beatles,V7/IV → IV
Things We Said Today,The Beatles,V7/IV → IV
From Me To You,The Beatles,V7/IV → IV
When I'm Sixty-Four,The Beatles,V7/IV → IV
Hey Jude,The Beatles,V7/IV → IV
Michelle,The Beatles,V7/IV → IV
Please Please Me,The Beatles,V7/IV → IV
Hold Me Tight,The Beatles,V7/IV → IV
Auto-Tune The News 1,The Gregory Brothers,V7/IV → IV
Hello Again,The Gregory Brothers,V7/IV → IV
Only You,The Platters,V7/IV → IV
The Nanosong,The Sounds of Science,V7/IV → IV
Birdhouse In Your Soul,They Might Be Giants,V7/IV → IV
Dead,They Might Be Giants,V7/IV → IV
Not Perfect,Tim Minchin,V7/IV → IV
Delilah,Tom Jones,V7/IV → IV
Broadway Guide,Tomoko Sasaki,V7/IV → IV
Splatoon - Hooked,Toru Minegishi,V7/IV → IV
Sally In Our Alley,Traditional,V7/IV → IV
Stella By Starlight,Victor Young,V7/IV → IV
Wait For The Moment,Vulfpeck,V7/IV → IV
Family Guy - Theme Song,Walter Murphy,V7/IV → IV
FAMILY GUY THEME SONG,Walter Murphy,V7/IV → IV
Why Can't We Be Friends,War,V7/IV → IV
MoMoMo,WJSN,V7/IV → IV
Eye In The Sky,Alan Parsons Project,vii°/vi → vi
Moi Lolita,Alizee,vii°/vi → vi
Lovelight - Bad Apple,Alstroemeria Records,vii°/vi → vi
Ichizu Na Omoi,ASSUMED SOUNDS,vii°/vi → vi
substandard,aylictal,vii°/vi → vi
endeavor,aylictal,vii°/vi → vi
Baby I'm Yours,Breakbot feat Irfane,vii°/vi → vi
Mega Man 4 - Pharaoh Man Stage,Capcom,vii°/vi → vi
Khe Sanh,Cold Chisel,vii°/vi → vi
I'm The Man That Will Find You alternate,Connan Mockasin,vii°/vi → vi
Wildfire,Crazy and Corza,vii°/vi → vi
The Binding Of Isaac - Main Theme,Danny Baranowsky,vii°/vi → vi
Lady Stardust,David Bowie,vii°/vi → vi
Donkey Kong Bonus,David Wise,vii°/vi → vi
Dessert,Dawin,vii°/vi → vi
He's Able,Deitrick Haddon,vii°/vi → vi
Say My Name,Destiny's Child,vii°/vi → vi
Leaving Without,dj-Jo,vii°/vi → vi
Thor's Hammer,Dobu Usagi,vii°/vi → vi
Deck'd,Dom Fera,vii°/vi → vi
Say Yes,Elliott Smith,vii°/vi → vi
Sleep,Eric Whitacre,vii°/vi → vi
Mag Mell Cuckool Mix 2007 - Clannad OP,Eufonius,vii°/vi → vi
Thanks For The Memories,Fall Out Boy,vii°/vi → vi
Nocturne Op 55 No 1,Frederic Chopin,vii°/vi → vi
Digging up These Skeletons,Greg Cherone - John Bettencourt,vii°/vi → vi
Goat Chill,GSTFS,vii°/vi → vi
E-Army,Izna - pastyle vs IZMIZM,vii°/vi → vi
Soviet March,James Hannigan,vii°/vi → vi
Flaming Moe's,Jeff Martin,vii°/vi → vi
Bounce,JJ Project,vii°/vi → vi
Who Says,John Mayer,vii°/vi → vi
Lights,Journey,vii°/vi → vi
Paradise,Keiichi Oku,vii°/vi → vi
Castlevania - Vampire Killer,Kinuyo Yamashita,vii°/vi → vi
404,Knife Party,vii°/vi → vi
Legend of Zelda - Hyrule Castle,Koji Kondo,vii°/vi → vi
Ys VI - Release of the Far West Ocean,Konami,vii°/vi → vi
Bazaar,KSHMR and Marnik,vii°/vi → vi
Bones,Michael Kiwanuka,vii°/vi → vi
Only You,miss A,vii°/vi → vi
Helena,My Chemical Romance,vii°/vi → vi
Hyrule Field - Zelda Twilight Princess,Nintendo,vii°/vi → vi
Don't Look Back In Anger,Oasis,vii°/vi → vi
For Fruits Basket,Okazaki Ritsuko,vii°/vi → vi
New,Paul McCartney,vii°/vi → vi
Here Comes The Flood,Peter Gabriel,vii°/vi → vi
Begin Again,Purity Ring,vii°/vi → vi
Deranged and Desperate,Saves The Day,vii°/vi → vi
Sonic and Knuckles - Flying Battery Zone,Sega,vii°/vi → vi
Sonic and Knuckles - Sandopolis Zone Act 1,Sega,vii°/vi → vi
Awakening Wolf's Instinct,Senpi,vii°/vi → vi
Keep It Close,Seven Lions Feat Kerli,vii°/vi → vi
Bridge over Troubled Water,Simon and Garfunkel,vii°/vi → vi
If You've Only Got A Moustache,Stephen Foster,vii°/vi → vi
Mega Man 2 - Dr Wily Stage 1,Takashi Tateishi,vii°/vi → vi
Super Robot Wars Alpha 3 - The Garden of Baral,Takuya Hanaoka,vii°/vi → vi
Touhou 6 - U N Owen was Her,Team Shanghai Alice,vii°/vi → vi
Blackbird,The Beatles,vii°/vi → vi
By Christmas,The Gromble,vii°/vi → vi
Last Goodbye,Toby Fox,vii°/vi → vi
Your Best Nightmare,Toby Fox,vii°/vi → vi
The Garden,Unitopia,vii°/vi → vi
Tesla,Unitopia,vii°/vi → vi
La Folia,Vivaldi,vii°/vi → vi
Nightmare Night,WoodenToaster,vii°/vi → vi
Iron,Woodkid,vii°/vi → vi
Mega Man 3 Title,Yasuaki Fujita,vii°/vi → vi
Stardust Witch Meruru - Meteo Impact,Yukari Tamura,vii°/vi → vi
Stache,Zedd,vii°/vi → vi
Done With Love,Zedd,vii°/vi → vi
Last Remote,ZUN,vii°/vi → vi
The Shining Needle Castle Sinking in the Air,ZUN,vii°/vi → vi
Romantic Children,ZUN,vii°/vi → vi
Witching Dream,ZUN,vii°/vi → vi
Interdimensional Voyage of a Ghostly Ship,ZUN,vii°/vi → vi
Pumpkin of September,ZUN,vii°/vi → vi
Battlefield of Hanahazama,ZUN,vii°/vi → vi
U N Owen Was Her,ZUN,vii°/vi → vi
A World of Nightmares Never Seen Before,ZUN,vii°/vi → vi
Faraway Voyage of 380 000 Kilometers,ZUN,vii°/vi → vi
Theme of Eastern Story,ZUN,vii°/vi → vi
Pandemonic Planet,ZUN,vii°/vi → vi
Septette for the Dead Princess,ZUN,vii°/vi → vi
Reach for the Moon - Immortal Smoke,ZUN,vii°/vi → vi
Doll Judgement,ZUN,vii°/vi → vi
Last Occultism - Esotericist of the Present World,ZUN,vii°/vi → vi
The Four Seasons Concerto No 4 Winter,Antonio Vivaldi,vii°/vi → vi
Let Me Hold You - Turn Me On,Cheat Codes and Dante Klein,vii°/vi → vi
Pop Style,Drake,vii°/vi → vi
Lynne,Hachi,vii°/vi → vi
Love Live - Futari Happiness,lily white,vii°/vi → vi
Explorers,Muse,vii°/vi → vi
United States Of Eurasia,Muse,vii°/vi → vi
Falling Away With You,Muse,vii°/vi → vi
In My Waking Life,Saves The Day,vii°/vi → vi
Where Are You,Saves The Day,vii°/vi → vi
Clouds Over the Moon Flowers in the Wind,Yuuhei Satellite,vii°/vi → vi
The Taboo Membrane Wall,ZUN,vii°/vi → vi
If I Could,1927,IV → iv → I
The nurse who loved me,A Perfect Circle,IV → iv → I
Make You Feel My Love,Adele,IV → iv → I
Crazy,Aerosmith,IV → iv → I
Hooked On A Feeling,Blue Swede,IV → iv → I
Billy Don't Be a Hero,Bo Donaldson and the Heywoods,IV → iv → I
Jar Of Hearts,Christina Perri,IV → iv → I
Anything Goes,Cole Porter,IV → iv → I
Starman,David Bowie,IV → iv → I
Space Oddity,David Bowie,IV → iv → I
Soul Love,David Bowie,IV → iv → I
I Will Follow You Into the Dark,Death Cab for Cutie,IV → iv → I
Stone Cold,Demi Lovato,IV → iv → I
Come On Eileen,Dexys Midnight Runners,IV → iv → I
Reflection,Disney,IV → iv → I
As Time Goes By,Dooley Wilson,IV → iv → I
I Found A Way,Drake Bell,IV → iv → I
Love and Marriage,Frank Sinatra,IV → iv → I
Route 216,Game Freak,IV → iv → I
Coumarine City,Game Freak,IV → iv → I
Meet The New Google Maps Commercial,Google,IV → iv → I
Wake Me Up When September Ends,Green Day,IV → iv → I
Creep,Homeless Mustard,IV → iv → I
s s s s,hyi,IV → iv → I
I Feel Fantastic,Jonathan Coulton,IV → iv → I
Re Your Brains,Jonathan Coulton,IV → iv → I
Code Monkey,Jonathan Coulton,IV → iv → I
Duett,Kent,IV → iv → I
Pay No Mind ft Passion Pit,Madeon,IV → iv → I
Strike Witches - Sweet Duet,Mai Kadowaki - Erika Nakai,IV → iv → I
It Snowed,Meaghan Smith,IV → iv → I
Soldier's Poem,Muse,IV → iv → I
Citizen Erased,Muse,IV → iv → I
Falling Away With You,Muse,IV → iv → I
Leave It Alone,nofx,IV → iv → I
Don't Look Back In Anger,Oasis,IV → iv → I
New Perspective,Panic At The Disco,IV → iv → I
Tonight You Belong to Me,Patience and Prudence,IV → iv → I
Waste,Phish,IV → iv → I
1 2 3 4,Plain White T's,IV → iv → I
Steven Universe Opening,Rebecca Sugar,IV → iv → I
The Alcoholic,Royksopp,IV → iv → I
Can't Stop Singing,Teen Beach Movie,IV → iv → I
Kokomo,The Beach Boys,IV → iv → I
Surfer Girl,The Beach Boys,IV → iv → I
In My Life,The Beatles,IV → iv → I
Hold Me Tight,The Beatles,IV → iv → I
Hello Again,The Gregory Brothers,IV → iv → I
Hakol Over,The Idan Raichel Project,IV → iv → I
That Thing You Do,The Wonders,IV → iv → I
Taste the Fame,They Might Be Giants,IV → iv → I
Not Perfect,Tim Minchin,IV → iv → I
House of Gold,Twenty One Pilots,IV → iv → I
The Freaking FCC,Walter Murphy,IV → iv → I
Mamma Mia,ABBA,♭VII → IV → I
So Long,ABBA,♭VII → IV → I
Highway to Hell,AC DC,♭VII → IV → I
Poison,Alice Cooper,♭VII → IV → I
Stick Figures,Animusic,♭VII → IV → I
Acoustic Curves,Animusic,♭VII → IV → I
Sukirman,ArmanArX,♭VII → IV → I
Reckless,Australian Crawl,♭VII → IV → I
Let Me Go,Avril Lavigne,♭VII → IV → I
Night Fever,Bee Gees,♭VII → IV → I
Vienna,Billy Joel,♭VII → IV → I
Twin Of Myself,Black Moth Super Rainbow,♭VII → IV → I
Peace of Mind,Boston,♭VII → IV → I
Jimmy Neutron Theme,Bowling For Soup,♭VII → IV → I
Escape From The City,Crush 40,♭VII → IV → I
Only In My Dreams,Debbie Gibson,♭VII → IV → I
Once Upon A Dream Maleficent,Disney Lana Del Rey,♭VII → IV → I
Rio,Duran Duran,♭VII → IV → I
Don't Let The Sun Go Down On Me,Elton John,♭VII → IV → I
Sleep,Eric Whitacre,♭VII → IV → I
Praise You,Fatboy Slim,♭VII → IV → I
Macross 7 - Try Again,Fire Bomber,♭VII → IV → I
Blue Ocean,Flying Colors,♭VII → IV → I
Live-In Skin,Foo Fighters,♭VII → IV → I
Vs Frontier Brain - Sinnoh,Game Freak,♭VII → IV → I
Smoke Rings in the Dark,Gary Allan,♭VII → IV → I
Scenes From A Night's Dream,Genesis,♭VII → IV → I
Lion Heart,Girls' Generation,♭VII → IV → I
Tough Luck,Glaze,♭VII → IV → I
No Milk Today,Herman's Hermits,♭VII → IV → I
Lips of an Angel,Hinder,♭VII → IV → I
Back In Time,Huey Lewis and the News,♭VII → IV → I
Love Interruption,Jack White,♭VII → IV → I
Bold as love,Jimi Hendrix,♭VII → IV → I
One Rainy Wish,Jimi Hendrix,♭VII → IV → I
I Can See Clearly Now,Johnny Nash,♭VII → IV → I
I Feel Fantastic,Jonathan Coulton,♭VII → IV → I
Smoke From A Secret Source,Kaipa,♭VII → IV → I
Jesus Fever,Kurt Vile,♭VII → IV → I
Brown Eyes,Lady Gaga,♭VII → IV → I
Poker Face Acoustic,Lady Gaga,♭VII → IV → I
Tuesday's Gone,Lynyrd Skynyrd,♭VII → IV → I
Reunion,M83,♭VII → IV → I
Gospel,MarchFourth Marching Band,♭VII → IV → I
Marbles III,Marillion,♭VII → IV → I
Here It Goes Again,OK Go,♭VII → IV → I
Waste,Phish,♭VII → IV → I
Comfortably Numb,Pink Floyd,♭VII → IV → I
I Was Only 19 - A Walk In The Light Green,Redgum,♭VII → IV → I
Kakkoii,Romain Gauthier,♭VII → IV → I
You Got It,Roy Orbison,♭VII → IV → I
Red Barchetta,Rush,♭VII → IV → I
Fly By Night,Rush,♭VII → IV → I
Muv-Luv - Muv-Luv Extra OST,Sage Koizumi,♭VII → IV → I
Living Ipod,Savant,♭VII → IV → I
Zoolander the Musical,Schmoyoho,♭VII → IV → I
Shot Heard 'Round the World,Schoolhouse Rock,♭VII → IV → I
Hiiragi Town School Days - Muv-Luv Extra OST,Shinobu Kajihisa,♭VII → IV → I
Bridge over Troubled Water,Simon and Garfunkel,♭VII → IV → I
Cherub Rock,Smashing Pumpkins,♭VII → IV → I
Firefly Theme - Ballad Of Serenity,Sonny Rhodes,♭VII → IV → I
TATA DoCoMo Signature Tune,Tata DOCOMO,♭VII → IV → I
Hugo's Melancholic Slalom,The Ashes,♭VII → IV → I
Here Comes the Sun,The Beatles,♭VII → IV → I
Lovely Rita,The Beatles,♭VII → IV → I
With A Little Help From My Friends,The Beatles,♭VII → IV → I
You Never Give Me Your Money,The Beatles,♭VII → IV → I
You've Got To Hide Your Love Away,The Beatles,♭VII → IV → I
A Day In The Life,The Beatles,♭VII → IV → I
16 Military Wives,The Decemberists,♭VII → IV → I
Once Upon a Time in your Wildest Dreams,The Moody Blues,♭VII → IV → I
Exile Vilify,The National,♭VII → IV → I
The Bones Of An Idol,The New Pornographers,♭VII → IV → I
The Time Warp,The Rocky Horror Show,♭VII → IV → I
Jumpin' Jack Flash,The Rolling Stones,♭VII → IV → I
Girl Inform Me,The Shins,♭VII → IV → I
Won't Get Fooled Again,The Who,♭VII → IV → I
I Can't Explain,The Who,♭VII → IV → I
Crimson and Clover,Tommy James and The Shondells,♭VII → IV → I
His Cheeseburger,Veggie Tales,♭VII → IV → I
VXsafetydance,Virgin America,♭VII → IV → I
Since You've Been Gone,Weird Al Yankovic,♭VII → IV → I
ELT,Wilco,♭VII → IV → I
Blogoslawieni Milosierni,WYD Krakow 2016,♭VII → IV → I
Welkenraedt,Yevgueni,♭VII → IV → I
Electric Relaxation,A Tribe Called Quest,♭VI → V
Venus,Air,♭VI → V
Head Over Feet,Alanis Morissette,♭VI → V
Brighter Than Sunshine,Aqualung,♭VI → V
Sk8er Boi,Avril Lavigne,♭VI → V
Something,Beatles,♭VI → V
Everyday,Buddy Holly,♭VI → V
Main Theme,Cave Story,♭VI → V
God Put A Smile Upon Your Face,Coldplay,♭VI → V
It's Choade My Dear,Connan Mockasin,♭VI → V
Smoke on the Water,Deep Purple,♭VI → V
A Boy and a Girl,Eric Whitacre,♭VI → V
When She's Near,Fiction Family,♭VI → V
Welgemeende,Flip Kowlier,♭VI → V
Route 216,Game Freak,♭VI → V
Vs Trainer - Hoenn,Game Freak,♭VI → V
Treasure Trove Cove,Grant Kirkhope,♭VI → V
One Life Stand,Hot Chip,♭VI → V
Mario is Missing NES - Title,John Korsrud,♭VI → V
Bubblegum KK,Kazumi Totaka,♭VI → V
Gradius II - Take Care,Konami,♭VI → V
Gradius II - Burning Heat,Konami,♭VI → V
Do You Want To Build A Snowman,Kristen Bell,♭VI → V
Again Again,Lady Gaga,♭VI → V
Piano Sonata No 8 ''Pathetique'' - 3rd Movement,Ludwig Van Beethoven,♭VI → V
That Green Gentleman,Panic At The Disco,♭VI → V
A Saucerful of Secrets,Pink Floyd,♭VI → V
River Shiver,Pomplamoose,♭VI → V
Just,Radiohead,♭VI → V
Fancy,Reba McEntire,♭VI → V
Stand,REM,♭VI → V
Disturbia,Rihanna,♭VI → V
Please Send Me Someone To Love,Sade,♭VI → V
Monkey,Saves The Day,♭VI → V
She,Saves The Day,♭VI → V
Seaside Hill Zone,Sega,♭VI → V
Sonic Battle - Emerald Town,SEGA,♭VI → V
Black Hole Sun,Soundgarden,♭VI → V
I Got You,Split Enz,♭VI → V
